Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3040000,0.79416484,2.1737254,0.15369302,0.09575246,6.9656366e-05,75.89908256880734,3.1702994534728726,3.1702994534728726,1.0
3050000,0.7847702,2.3130422,0.18491466,0.088850096,6.9543e-05,83.17592592592592,3.030862290550161,3.030862290550161,1.0
3060000,0.7984346,1.7541854,0.1671176,0.097370386,6.9445705e-05,98.6125,2.2137769758701324,2.2137769758701324,1.0
3070000,0.76093745,1.9982982,0.1214545,0.101057515,6.9342226e-05,79.58558558558559,3.1804070306253864,3.1804070306253864,1.0
3080000,0.7662563,2.228213,0.1872611,0.09399481,6.9248956e-05,71.66929133858268,3.164664389110926,3.164664389110926,1.0
3090000,0.8340903,2.1251047,0.1015723,0.09142605,6.9151676e-05,84.07619047619048,2.7676401058832805,2.7676401058832805,1.0
3100000,0.84036654,2.1133714,0.085690625,0.10167048,6.904991e-05,69.3801652892562,3.228193317280441,3.228193317280441,1.0
3110000,0.8422492,2.5224638,0.11516361,0.09417674,6.894935e-05,72.78070175438596,3.6108679363602088,3.6108679363602088,1.0
3120000,0.83014995,2.2188845,0.15034366,0.09467326,6.8845e-05,74.47321428571429,3.0960800105387025,3.0960800105387025,1.0
3130000,0.806143,2.4952488,0.1775283,0.103703156,6.8751426e-05,70.78813559322033,3.838908490488085,3.838908490488085,1.0
3140000,0.8208753,2.2602506,0.16595416,0.09879239,6.86559e-05,79.14285714285714,2.7183523436989447,2.7183523436989447,1.0
3150000,0.8351349,2.033772,0.14284228,0.09703612,6.854666e-05,85.76315789473684,2.5697176270840463,2.5697176270840463,1.0
3160000,0.77748007,2.3998184,0.13282683,0.10211173,6.8450936e-05,78.74107142857143,3.41094916137782,3.41094916137782,1.0
3170000,0.7521126,2.1811485,0.1345788,0.101004764,6.835003e-05,91.79775280898876,3.384655499458313,3.384655499458313,1.0
3180000,0.77165496,2.051991,0.1379898,0.10373906,6.8250956e-05,93.27551020408163,2.426147353284213,2.426147353284213,1.0
3190000,0.7818935,1.9905821,0.108403586,0.09811796,6.814921e-05,77.91150442477876,2.7056990756397754,2.7056990756397754,1.0
3200000,0.77917004,1.9833941,0.1316818,0.094738886,6.805151e-05,82.45299145299145,2.834613414401682,2.834613414401682,1.0
3210000,0.7464957,2.1754384,0.094776966,0.09615038,6.795605e-05,75.59836065573771,3.124003098636377,3.124003098636377,1.0
3220000,0.7498174,2.4738874,0.08353631,0.1019971,6.784767e-05,76.3103448275862,3.4787323880812218,3.4787323880812218,1.0
3230000,0.7832178,2.1379576,0.091207065,0.10060184,6.775084e-05,79.43298969072166,3.0757391948448984,3.0757391948448984,1.0
3240000,0.80194455,2.2446358,0.18751225,0.095586985,6.7657675e-05,74.55813953488372,2.9971188265858717,2.9971188265858717,1.0
3250000,0.7879812,2.4610963,0.24603495,0.1009302,6.755219e-05,71.36434108527132,3.049955494644106,3.049955494644106,1.0
3260000,0.80596316,2.5106146,0.17944744,0.09976421,6.744515e-05,70.75735294117646,3.3251465896473213,3.3251465896473213,1.0
3270000,0.7099745,2.5638351,0.13260823,0.09410404,6.7342175e-05,72.20769230769231,3.343082558650237,3.343082558650237,1.0
3280000,0.74199903,2.3357992,0.08617932,0.097748175,6.7249195e-05,69.13953488372093,3.4139500787091808,3.4139500787091808,1.0
3290000,0.7542377,2.322487,0.12089443,0.0938321,6.7156056e-05,80.89090909090909,3.3367888456041164,3.3367888456041164,1.0
3300000,0.7576782,2.486697,0.115052626,0.096320346,6.705333e-05,69.15151515151516,3.4387570014573576,3.4387570014573576,1.0
3310000,0.77136856,2.108259,0.1066829,0.09963798,6.695085e-05,91.89247311827957,2.6066022922274885,2.6066022922274885,1.0
3320000,0.7371345,2.0258422,0.22915737,0.09570105,6.6852575e-05,94.30851063829788,2.2512363683670125,2.2512363683670125,1.0
3330000,0.7361189,2.415701,0.12590986,0.10180174,6.675136e-05,76.16935483870968,3.7534043900365752,3.7534043900365752,1.0
3340000,0.78227687,2.4497375,0.27592376,0.09460288,6.6643115e-05,76.63934426229508,3.0328220051478563,3.0328220051478563,1.0
3350000,0.7835623,2.3255873,0.1178983,0.097385556,6.6550376e-05,70.03076923076924,2.9276517287705297,2.9276517287705297,1.0
3360000,0.7359278,2.217343,0.12026588,0.097233236,6.645515e-05,77.63478260869566,3.0612393602080967,3.0612393602080967,1.0
3370000,0.78231907,1.7071377,0.7083434,0.094137385,6.635579e-05,93.06451612903226,0.34302375073074015,0.34302375073074015,1.0
3380000,0.76277477,2.0493388,0.2364938,0.09288581,6.625834e-05,81.09401709401709,2.9955683880382113,2.9955683880382113,1.0
3390000,0.7507868,2.2426274,0.13019602,0.097098164,6.615342e-05,72.91935483870968,3.1300688530168226,3.1300688530168226,1.0
3400000,0.74846286,2.3611305,0.12899554,0.100059435,6.604709e-05,81.97368421052632,3.356860374672371,3.356860374672371,1.0
3410000,0.7676363,2.0100584,0.18277086,0.10236368,6.5942746e-05,86.64485981308411,2.505734231112138,2.505734231112138,1.0
