Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
810000,1.1347786,2.101497,0.068748705,0.24271493,0.0956514,9.79867e-05,0.016632142,0.03662861,52.1945945945946,2.457181281334645,2.457181281334645,0.00983636661848003,1.0
820000,1.0933934,2.4066103,0.08623671,0.08836754,0.0971873,9.796106e-05,0.021877307,0.034522813,52.89772727272727,3.226532677357847,3.226532677357847,0.01173113290463913,1.0
830000,0.97581035,2.5858746,0.08701354,0.14454567,0.102097705,9.7935575e-05,0.02200373,0.033261564,55.8125,3.5999567354605957,3.5999567354605957,0.01679014681179648,1.0
840000,0.98967403,3.1216311,0.09716175,0.058194257,0.09735621,9.791254e-05,0.018216768,0.04427108,46.076190476190476,4.003792854717799,4.003792854717799,0.009917397175117262,1.0
850000,1.0658226,2.8217065,0.1004498,0.11550995,0.09742496,9.788951e-05,0.017429112,0.03768471,42.586046511627906,3.073716451678165,3.073716451678165,0.008762765385015586,1.0
860000,1.1206756,2.5115104,0.09377783,0.20022145,0.09567086,9.7863725e-05,0.017840879,0.037114583,42.401785714285715,3.0592938932989324,3.0592938932989324,0.007803411643440735,1.0
870000,1.0774403,2.6541493,0.08670692,0.1648117,0.10251348,9.7837496e-05,0.024186488,0.061044626,50.45128205128205,3.195671645494608,3.195671645494608,0.014135934493074624,1.0
880000,1.1197592,2.8190079,0.08635487,0.097892,0.092893824,9.78117e-05,0.020082617,0.054510653,48.902061855670105,3.5410929727800116,3.5410929727800116,0.011254047718710391,1.0
890000,1.14532,2.8962169,0.09821029,0.08287664,0.097172335,9.778582e-05,0.016972315,0.056261312,52.63297872340426,3.641357958633849,3.641357958633849,0.01022154980022064,1.0
900000,1.1509653,2.8511577,0.10238328,0.34521645,0.09587819,9.776258e-05,0.025303332,0.060406066,56.566265060240966,3.3191108621028533,3.3191108621028533,0.015223782535863995,1.0
910000,1.0638952,2.881794,0.10923597,0.10361318,0.09061277,9.7739474e-05,0.015476835,0.032652956,44.64383561643836,3.499094109829158,3.499094109829158,0.00891103330876287,1.0
920000,1.0722675,2.887298,0.10852153,0.06376924,0.09777142,9.771391e-05,0.012349652,0.026999265,53.97802197802198,3.804571284697606,3.804571284697606,0.006906027548721285,1.0
930000,1.0592452,2.602113,0.10123978,0.08989746,0.09768437,9.768823e-05,0.012535843,0.031376842,62.68666666666667,2.689627187930985,2.689627187930985,0.009532471643822477,1.0
940000,1.0821521,2.6812239,0.0898581,0.07225393,0.09758821,9.766242e-05,0.018166166,0.05486082,59.11377245508982,3.967850952981466,3.967850952981466,0.012478538405245551,1.0
950000,0.9924756,2.479535,0.08044276,0.08288193,0.09775273,9.7636585e-05,0.019825293,0.04739205,78.89075630252101,3.207604834512502,3.207604834512502,0.016838199691846967,1.0
960000,0.9947886,2.7252305,0.08326879,0.07454075,0.09750884,9.761095e-05,0.014606066,0.02655312,62.0,3.4910061699151993,3.4910061699151993,0.009784063283974926,1.0
970000,1.0522966,2.2305539,0.08470832,0.15865895,0.096328564,9.758766e-05,0.022536034,0.052009642,65.64661654135338,2.646369624938538,2.646369624938538,0.015829043091038494,1.0
980000,0.9465364,2.26382,0.07967646,0.10758374,0.09432973,9.756344e-05,0.02469271,0.044236917,71.41044776119404,2.726620110354029,2.726620110354029,0.018711013414834003,1.0
990000,1.0402455,1.8691032,0.097012095,0.12407984,0.10161312,9.7537435e-05,0.020043071,0.02678085,57.8944099378882,2.451249476915561,2.451249476915561,0.013930183799173799,1.0
1000000,0.95263106,2.1942427,0.08532788,0.121906854,0.101532236,9.751144e-05,0.025092732,0.072407894,69.58865248226951,2.936883635554753,2.936883635554753,0.019286067240726176,1.0
1010000,0.9597076,2.4053147,0.08417319,0.091839775,0.09406708,9.748584e-05,0.018178767,0.027103469,59.13496932515337,3.1057875202111673,3.1057875202111673,0.011432411554098083,1.0
1020000,0.97376007,2.1768167,0.0770654,0.059028447,0.098048404,9.7462704e-05,0.013046505,0.037485953,59.0,2.4162204682108865,2.4162204682108865,0.010620579859508336,1.0
1030000,1.0847934,1.7299129,0.07403214,0.13433428,0.09981794,9.74393e-05,0.020764356,0.030871402,64.86363636363636,2.229400747252586,2.229400747252586,0.01282751616055524,1.0
1040000,1.1152377,1.9103764,0.06996206,0.3276196,0.09505044,9.741347e-05,0.020376028,0.03968074,61.251612903225805,2.0514327821793494,2.0514327821793494,0.01437171695484816,1.0
1050000,1.000381,2.195988,0.06819035,0.12279512,0.09908579,9.738685e-05,0.016981917,0.044386424,74.53787878787878,3.082467839573369,3.082467839573369,0.016108274721222133,1.0
1060000,0.9827503,2.4558403,0.07303982,0.108244404,0.093786284,9.736094e-05,0.021177713,0.047842897,53.80327868852459,3.053093733031893,3.053093733031893,0.012524568670444557,1.0
1070000,1.0412422,2.159745,0.066707045,0.059654493,0.09490244,9.7337725e-05,0.012533368,0.02138635,67.55,2.9239075213885135,2.9239075213885135,0.00953258694779369,1.0
1080000,0.97736734,2.4976058,0.073123336,0.16283856,0.096513845,9.7314594e-05,0.018602591,0.040592905,60.7125,3.1634429174920786,3.1634429174920786,0.01286729510117218,1.0
