Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
340000,6.241862,0.4473361,0.093010835,9.6655276e-05,0.7437989,187.0,9.108811378479004,9.108811378479004,1.0
350000,6.8344207,0.5809015,0.09893732,9.655183e-05,0.72635263,165.66666666666666,8.639978885650635,8.639978885650635,1.0
360000,7.0788565,0.62873626,0.10175717,9.644797e-05,0.7263587,200.66666666666666,8.993082523345947,8.993082523345947,1.0
370000,7.8357115,0.8955269,0.09863987,9.6343625e-05,0.64867675,174.0,12.64014975229899,12.64014975229899,1.0
380000,7.2239556,0.78082913,0.09679235,9.625016e-05,0.6665013,195.66666666666666,8.990112900733948,8.990112900733948,1.0
390000,6.795605,0.42823058,0.098253645,9.615555e-05,0.708366,184.2,11.28704388141632,11.28704388141632,1.0
400000,6.0713468,0.57607424,0.09423784,9.605003e-05,0.67230546,150.4,9.234418165683746,9.234418165683746,1.0
410000,5.717466,0.5482716,0.09864242,9.594425e-05,0.6415534,164.16666666666666,9.307855496803919,9.307855496803919,1.0
420000,5.588146,0.35073033,0.09772507,9.5848474e-05,0.6446285,166.83333333333334,9.27362929781278,9.27362929781278,1.0
430000,6.0189056,0.60516727,0.09920302,9.575243e-05,0.6267664,171.0,9.30971908569336,9.30971908569336,1.0
440000,6.2023764,0.5819045,0.09772046,9.564896e-05,0.6126297,170.66666666666666,9.25509281953176,9.25509281953176,1.0
450000,5.9806685,0.5475855,0.09941172,9.5543786e-05,0.6020476,166.36363636363637,9.307347796180032,9.307347796180032,1.0
460000,6.27174,0.67938507,0.10764448,9.544728e-05,0.6430964,227.5,7.331390857696533,7.331390857696533,1.0
470000,5.8979445,0.5609108,0.09365019,9.534757e-05,0.61954504,146.25,9.08224804699421,9.08224804699421,1.0
480000,6.396411,0.8211981,0.09839791,9.524808e-05,0.59846795,163.77777777777777,9.297842701276144,9.297842701276144,1.0
490000,5.9076414,0.7119038,0.097920746,9.515367e-05,0.60249174,187.21052631578948,8.53354339223159,8.53354339223159,1.0
500000,5.833231,0.7020446,0.09730143,9.505293e-05,0.54339695,169.7,9.190387988090515,9.190387988090515,1.0
510000,6.154953,0.73360616,0.094847344,9.494645e-05,0.47980472,171.16666666666666,10.979308148225149,10.979308148225149,1.0
520000,6.289794,0.6613235,0.09446829,9.484982e-05,0.44842327,213.27777777777777,8.368482572957873,8.368482572957873,1.0
530000,6.6321974,0.69426167,0.0967233,9.4746196e-05,0.5158995,165.25,7.461216588815053,7.461216588815053,1.0
540000,6.735228,0.62666714,0.09471528,9.465065e-05,0.57567054,220.66666666666666,9.08626421292623,9.08626421292623,1.0
550000,6.7475815,0.7237332,0.10139886,9.4554605e-05,0.48989215,197.42857142857142,9.132896287100655,9.132896287100655,1.0
560000,6.2658715,0.8281636,0.09471466,9.444748e-05,0.5624689,189.75,9.194460585713387,9.194460585713387,1.0
570000,6.2212534,0.43867627,0.10134397,9.434286e-05,0.4906379,None,None,None,1.0
580000,7.103482,0.59124565,0.09806351,9.425015e-05,0.4933281,212.0,14.345698714256287,14.345698714256287,1.0
590000,6.9573975,0.75352365,0.09306902,9.415616e-05,0.44451076,181.5,9.123470067977905,9.123470067977905,1.0
