Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
2110000,1.5096014,1.5844702114135865,293.1,4.0,0.11126467,0.048816215,1.584470158588465,0.43677356909029186,0.014992865,0.097494766,0.00023684825,0.036777012,0.5405022
2120000,1.496421,1.12177854757756,129.8,4.0,0.13639638,0.06103971,1.121778479218483,0.21466336303856223,0.017435828,0.09571812,0.0002365363,0.029635135,0.542312
2130000,1.4979947,0.7909976649874201,143.44444444444446,4.0,0.10997403,0.056548037,0.7909976111518012,0.18706560445328554,0.00908884,0.09704455,0.00023625475,0.023507055,0.5250594
2140000,1.4992086,1.4835075858145863,176.0,4.0,0.15305114,0.055234812,1.4835075282906474,0.18121305524837225,0.01726055,0.09940607,0.00023597025,0.024600025,0.523411
2150000,1.5074965,1.4809782806021923,125.81818181818181,4.0,0.14895658,0.053613167,1.480978245084936,0.0805411645295945,0.018033767,0.096460916,0.00023565147,0.016454961,0.519579
2160000,1.5156578,0.1732012948486954,119.3,4.0,0.17647204,0.052094784,0.1732012450695038,0.11944822454825044,0.023134235,0.09822966,0.0002353394,0.020833105,0.51443696
2170000,1.5442817,1.270198893700061,86.92857142857143,4.0,0.12924518,0.041721128,1.2701988901410783,0.10926332160098744,0.0061316015,0.095175035,0.0002350548,0.019266274,0.54453564
2180000,1.5416977,2.04549840449666,122.22222222222223,4.0,0.20347467,0.04649594,2.0454983247650995,0.12733495369967487,0.019434454,0.102701806,0.00023477068,0.027128736,0.5527165
2190000,1.5497394,1.8509577449227952,4862.357142857143,4.0,0.26049078,0.062226456,1.850957730264916,1.1680727532199984,1.1871003,0.09781609,0.00023445868,0.02621823,0.5311077
2200000,1.5366133,0.9521376627963036,86.58333333333333,4.0,0.22967486,0.060872987,0.9521376416087151,0.09482615301385522,0.15465496,0.09616494,0.00023414113,0.023028541,0.5368406
2210000,1.5430434,1.900808072866251,79.06666666666666,4.0,0.17397843,0.062840454,1.900808032353719,0.07962455321103334,0.014290604,0.10140848,0.00023383084,0.02818041,0.56272185
2220000,1.2201626,4.780400269971845,127.47222222222223,5.0,0.91605103,0.17470855,4.780400370099217,0.30855855050807196,0.5482179,0.09693402,0.00023352195,0.12778135,0.3897393
2230000,1.240019,1.2124528982508966,162.375,5.0,0.46393535,0.1564112,1.2124529143534248,0.20467281961464323,0.18249007,0.1021961,0.00023325319,0.07716508,0.34456798
2240000,1.2679445,2.0002548010105445,137.625,5.0,0.31641173,0.12783279,2.0002546986612635,0.17861261405050755,0.049161434,0.10169575,0.00023296967,0.053678703,0.34789017
2250000,1.2283685,1.4257792657251271,214.46666666666667,5.0,0.1668243,0.10446642,1.495436263520478,0.23035433332967972,0.028934374,0.09429381,0.00023265691,0.052139543,0.3427907
2260000,1.2388878,3.3674118588545077,138.625,5.0,0.3390691,0.098661356,3.147862386446832,0.1303902079234831,0.12958947,0.107281044,0.00023233585,0.05394181,0.30201307
2270000,1.2546552,1.7377987613514903,191.1578947368421,5.0,0.33770153,0.08351094,1.8490772980589782,0.13833303638384678,0.032469187,0.10012972,0.0002320506,0.03926843,0.36666763
2280000,1.2410702,1.9130349331427434,62.45161290322581,6.0,0.39875954,0.086434565,1.9130349140013418,0.06505968327063226,0.03578344,0.10242587,0.00023176742,0.044534035,0.361459
2290000,1.1631949,1.7991762246140794,155.6,6.0,0.51193076,0.108046286,1.799176169607017,0.2347812119347509,0.11266699,0.10265221,0.00023143305,0.08323996,0.2464958
2300000,1.1869142,1.7696261813160112,154.2,6.0,0.4062676,0.095301434,1.7696261515130502,0.15641792075475677,0.06204718,0.09521518,0.00023114553,0.042389847,0.2173094
2310000,1.1855491,-0.38824465878389375,277.35714285714283,6.0,0.23845388,0.07543141,-0.38824472248961683,0.22908444611156092,0.40246567,0.09845622,0.00023086199,0.053254627,0.2193028
2320000,1.1777697,0.11467024350438884,165.0625,6.0,0.15976273,0.06882556,0.11467021605722039,0.15592494994052686,0.025520813,0.09617296,0.00023055298,0.057882577,0.30229115
2330000,1.2008469,1.2272383477402367,314.53846153846155,6.0,0.18836,0.078129284,1.2272382852235746,0.2504966284076755,0.046463873,0.09917171,0.00023023773,0.06458403,0.30037162
2340000,1.2463163,0.7862992498078581,63.07142857142857,6.0,0.16784787,0.08854944,0.7862992419561904,0.09854681344170656,0.044706706,0.09970691,0.0002299495,0.05651428,0.276155
