Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
6570000,0.8367847,4.6459336,0.046225242,0.1600723,0.094115414,8.358635e-05,0.02420677,0.068001665,81.91525423728814,6.182143375782643,6.182143375782643,0.025915511583877823,1.0
6580000,0.7496896,4.3873844,0.04700404,0.20792532,0.10042129,8.356201e-05,0.03669096,0.066106744,120.25,7.714034558718021,7.714034558718021,0.048616480866733654,1.0
6590000,0.8079478,4.0743046,0.04673631,0.20657043,0.108308926,8.3538995e-05,0.033783633,0.08166889,112.55421686746988,7.123934256776077,7.123934256776077,0.044961447265317166,1.0
6600000,0.9877033,3.8203273,0.04302681,0.10802163,0.10084404,8.351233e-05,0.03497446,0.2621217,108.87654320987654,6.665361871443143,6.665361871443143,0.044947341124231856,1.0
6610000,0.73575115,4.652664,0.03625076,0.120579444,0.099393405,8.3487794e-05,0.027128123,0.23699597,110.46739130434783,9.037296435568068,9.037296435568068,0.03665306117747807,1.0
6620000,0.7168525,5.2423635,0.03612222,0.13548441,0.09840471,8.346364e-05,0.026501711,0.045978267,69.55474452554745,8.79216063864853,8.79216063864853,0.024273847553717053,1.0
6630000,0.68027467,5.089883,0.039878447,0.17005223,0.09482408,8.343758e-05,0.025238791,0.04068477,88.78571428571429,9.334149169500428,9.334149169500428,0.02654924850106578,1.0
6640000,0.62548965,5.250769,0.041062977,0.26683444,0.10051942,8.341188e-05,0.028850427,0.047592435,71.67153284671532,8.34158234057181,8.34158234057181,0.02337245178162394,1.0
6650000,0.6124858,5.384079,0.042254783,0.16230455,0.09610163,8.338592e-05,0.02482191,0.05249877,72.8962962962963,8.473285766235039,8.473285766235039,0.02202724337225099,1.0
6660000,0.5499789,5.2603517,0.043983005,0.121973515,0.09515795,8.336238e-05,0.021796258,0.039462227,88.32743362831859,9.108410489770163,9.108410489770163,0.021005932418876782,1.0
6670000,0.6962762,4.796392,0.042892914,0.40636826,0.10186906,8.33368e-05,0.030161876,0.047134686,107.8395061728395,8.863518906802666,8.863518906802666,0.03784088141614253,1.0
6680000,0.7229331,4.849258,0.047269963,0.16505405,0.10351364,8.331182e-05,0.028338477,0.056390174,106.17021276595744,8.838276180849281,8.838276180849281,0.03627905085237236,1.0
6690000,0.731552,5.3258657,0.0437961,0.21526022,0.1015455,8.328645e-05,0.028855124,0.06783347,78.72072072072072,8.872557532411438,8.872557532411438,0.02793448577794406,1.0
6700000,0.7441717,4.68569,0.047143593,0.12963438,0.098172635,8.326279e-05,0.03041806,0.09200765,80.66666666666667,7.223917471402783,7.223917471402783,0.026176147865352488,1.0
6710000,0.6738361,4.7351594,0.04365641,0.12932514,0.10646256,8.323866e-05,0.02176113,0.021054067,94.39,9.176758515834809,9.176758515834809,0.025043224656546955,1.0
6720000,0.6717722,4.8536496,0.03970727,0.08351251,0.094929144,8.321251e-05,0.022511123,0.032734208,75.08,7.5191711893081665,7.5191711893081665,0.01859584370581433,1.0
6730000,0.84294206,4.8248568,0.043313034,0.24312873,0.098677136,8.3186365e-05,0.02930581,0.07874802,92.14141414141415,8.105874250633548,8.105874250633548,0.03107626402675353,1.0
6740000,0.80354196,4.1461053,0.04427986,0.1184357,0.1027829,8.316303e-05,0.03504288,0.12521556,91.69911504424779,5.867683741634926,5.867683741634926,0.03672663577980634,1.0
6750000,0.830914,4.2417464,0.04787885,0.18154924,0.09906214,8.3138584e-05,0.03151269,0.22560196,83.85964912280701,6.714424067994822,6.714424067994822,0.03144478033418241,1.0
6760000,0.7938557,4.362512,0.046733018,0.23113684,0.09999852,8.311472e-05,0.034195285,0.14634039,94.67391304347827,7.88887282655291,7.88887282655291,0.03625142057021351,1.0
6770000,0.7037136,4.8134627,0.043885354,0.14147171,0.103453316,8.308912e-05,0.024359185,0.030451495,66.42957746478874,8.1073091968894,8.1073091968894,0.02017963568214327,1.0
6780000,0.6870855,4.6288767,0.04285354,0.16951829,0.0964343,8.306316e-05,0.026728127,0.048225664,84.6842105263158,8.040068846681844,8.040068846681844,0.02633860994980711,1.0
6790000,0.7162377,4.4298096,0.043964423,0.16060627,0.10296029,8.303707e-05,0.027441895,0.053569775,82.49137931034483,6.358399999141693,6.358399999141693,0.026961584769837236,1.0
6800000,0.6882184,4.476041,0.040882625,0.13721082,0.100834236,8.301159e-05,0.032093864,0.06997064,96.27450980392157,7.3778210910199915,7.3778210910199915,0.03695219492051497,1.0
6810000,0.71951824,5.334058,0.041462798,0.13454309,0.094739206,8.298796e-05,0.017732175,0.03391675,80.78632478632478,9.389123165964062,9.389123165964062,0.016485693770994105,1.0
6820000,0.67616963,5.173402,0.043165933,0.23944247,0.094873734,8.29615e-05,0.027069975,0.080341145,95.90721649484536,8.47445832331156,8.47445832331156,0.029091915855011374,1.0
6830000,0.79455835,5.0796695,0.042813268,0.1958143,0.10205703,8.2937506e-05,0.0198772,0.047525764,84.60576923076923,8.893126964855652,8.893126964855652,0.020843265884860348,1.0
6840000,0.71873903,5.006319,0.039892327,0.24420075,0.10091074,8.291402e-05,0.026413757,0.044930357,80.61061946902655,9.492753058671951,9.492753058671951,0.029216232666696765,1.0
6850000,0.80224,4.9814696,0.043462534,0.29693115,0.09729704,8.288804e-05,0.036087207,0.08769217,107.5125,8.284331778995693,8.284331778995693,0.0510375051995652,1.0
6860000,0.8164235,4.7430067,0.047862608,0.3603106,0.09977184,8.2861996e-05,0.03434357,0.09328048,69.3169014084507,6.4820982918460315,6.4820982918460315,0.027513664894479702,1.0
6870000,0.7772253,4.673459,0.049015284,0.20930406,0.1026752,8.2836865e-05,0.031250384,0.12676027,101.08163265306122,7.7421326834936535,7.7421326834936535,0.04476852699810145,1.0
